Borough;< 900 € [%];900 - 1300 € [%];1300 - 1500 € [%];1500 - 2000 € [%];2000 - 2600 € [%];2600 - 3200 € [%];3200 € and more [%];Average monthly income in €
Mitte;10.37;15.74;6.68;16.79;14.90;11.16;24.26;2025
Friedrichshain-Kreuzberg;11.14;14.08;6.89;15.76;15.16;9.89;27.02;2075
Pankow;4.44;10.45;5.09;14.58;16.86;14.32;34.21;2550
Charlottenburg-Wilmersdorf;9.33;13.14;5.31;15.36;13.45;10.36;32.84;2250
Spandau;8.27;11.88;8.60;19.41;17.20;10.57;23.91;2050
Steglitz-Zehlendorf;6.47;12.04;6.34;12.61;14.53;10.37;37.58;2500
Tempelhof-Schöneberg;7.36;12.27;5.95;17.75;17.75;9.66;29.28;2200
Neukölln;10.86;17.75;8.36;17.12;16.55;9.16;20.14;1875
Treptow-Köpenick;7.26;9.96;5.53;18.05;16.53;12.38;30.22;2275
Marzahn-Hellersdorf;8.35;13.44;7.83;16.25;18.09;11.45;24.52;2100
Lichtenberg;10.02;12.01;8.77;20.10;18.05;8.34;22.53;1975
Reinickendorf;6.16;11.04;8.83;20.32;15.83;9.97;27.70;2125
